aqi,co,no2,o3,pm10,pm25,so2
84.0,0.1,76.0,2.0,109.0,62.0,19.0
120.0,1.9,82.0,2.0,129.0,91.0,34.0
130.0,1.8,85.0,2.0,128.0,99.0,33.0
129.0,2.8,81.0,2.0,117.0,98.0,38.0
128.0,2.9,79.0,2.0,117.0,97.0,42.0
141.0,2.8,79.0,2.0,162.0,108.0,37.0
149.0,0.3,79.0,2.0,157.0,114.0,35.0
159.0,2.9,78.0,2.0,171.0,121.0,33.0
136.0,2.4,76.0,2.0,124.0,104.0,27.0
123.0,2.2,72.0,2.0,109.0,93.0,32.0
132.0,1.1,41.0,33.0,214.0,59.0,19.0
66.0,0.4,15.0,73.0,81.0,16.0,7.0
151.0,0.3,13.0,86.0,251.0,20.0,4.0
59.0,0.3,14.0,89.0,67.0,10.0,4.0
51.0,0.3,14.0,94.0,51.0,7.0,4.0
51.0,0.3,14.0,95.0,51.0,12.0,5.0
50.0,0.2,13.0,97.0,50.0,11.0,4.0
95.0,0.3,13.0,84.0,139.0,17.0,4.0
44.0,0.5,13.0,87.0,44.0,10.0,6.0
52.0,0.3,12.0,88.0,53.0,10.0,6.0
27.0,0.3,12.0,87.0,27.0,10.0,4.0
27.0,0.3,13.0,85.0,27.0,7.0,5.0
26.0,0.3,14.0,82.0,14.0,7.0,5.0
24.0,0.3,16.0,78.0,10.0,7.0,5.0
21.0,0.4,21.0,68.0,86.0,10.0,6.0
18.0,0.5,29.0,57.0,12.0,6.0,6.0
19.0,0.4,25.0,62.0,11.0,9.0,6.0
21.0,0.4,22.0,67.0,16.0,6.0,6.0
23.0,0.4,16.0,75.0,11.0,10.0,6.0
18.0,0.4,28.0,57.0,13.0,7.0,6.0
18.0,0.4,28.0,56.0,14.0,5.0,6.0
20.0,0.5,38.0,43.0,20.0,7.0,7.0
25.0,0.6,50.0,27.0,22.0,6.0,8.0
26.0,0.8,51.0,27.0,20.0,8.0,10.0
43.0,0.7,44.0,39.0,43.0,15.0,11.0
21.0,0.6,41.0,47.0,18.0,14.0,10.0
26.0,0.6,39.0,55.0,18.0,18.0,8.0
27.0,0.4,40.0,60.0,18.0,19.0,7.0
32.0,0.5,44.0,59.0,32.0,17.0,9.0
40.0,0.4,39.0,67.0,32.0,28.0,12.0
33.0,0.3,32.0,78.0,33.0,20.0,10.0
40.0,0.3,31.0,78.0,38.0,28.0,8.0
48.0,0.4,35.0,74.0,48.0,31.0,9.0
63.0,0.5,48.0,54.0,66.0,45.0,11.0
73.0,0.7,48.0,54.0,65.0,53.0,11.0
73.0,0.7,52.0,42.0,84.0,53.0,15.0
90.0,0.8,58.0,29.0,92.0,67.0,28.0
88.0,0.9,61.0,24.0,86.0,65.0,24.0
95.0,0.9,65.0,16.0,85.0,71.0,22.0
